session_id,device_category,user_region,traffic_source,payment_method_selected,user_tier,primary_product_category,past_purchases_count,items_in_cart,average_item_price,session_duration_secs,pages_viewed,items_added_count,total_cart_value_usd,product_viewed,cart_added,checkout_started,shipping_details_entered,payment_stage_completed,checkout_status,days_to_delivery,delivery_satisfaction_rating,historical_clv,coupon_discount_pct_offered,recovery_email_delay_hours,recovery_email_opened,recovery_email_conversion,basket_items
CIQ-00001,MOBILE,Dubai,TikTok Shop,Credit Card,Guest,Home & Living,1,6,61.34,536.8,14,6,368.04,1,1,1,1,0,1,3.9,3.0,224.69,15,12,0,0,Scented Candle|Bedsheet|Storage Box|Lip Tint
CIQ-00002,Mobile,Jeddah,TikTok Shop,Credit Card,Guest,Electronics,1,3,33.1,432.1,11,4,99.3,1,1,1,1,1,1,2.9,5.0,223.72,15,24,0,0,Power Bank|Phone Case
CIQ-00003,desktop ,Jeddah,Google Shopping,Credit Card,Guest,Home & Living,1,4,91.53,236.2,11,4,366.12,1,1,1,1,0,0,,,231.95,0,4,0,0,Storage Box|Scented Candle
CIQ-00004,MOBILE,Dubai,Instagram Ads,Credit Card,Guest,Home & Living,2,2,45.19,301.1,7,2,90.38,1,1,1,0,0,0,,,375.5,10,12,0,0,Desk Lamp
CIQ-00005,Mobile,Dubai,Instagram Ads,Apple Pay,Logged-In Member,Beauty,6,1,56.01,217.6,4,1,56.01,1,1,1,1,1,1,2.5,5.0,1304.88,10,4,0,0,Cleanser
CIQ-00006,Tablet,Sharjah,Direct,Credit Card,Guest,Electronics,3,3,218.39,304.1,8,4,655.17,1,1,1,1,0,0,,,418.37,0,1,0,0,Wireless Earbuds|Smart Watch
CIQ-00007,MOBILE,Riyadh,Email,Tabby/Tamara,Guest,Home & Living,3,5,290.54,402.3,15,5,1452.7,1,1,1,1,1,0,,,399.11,10,4,0,0,Storage Box|Desk Lamp|Bedsheet
CIQ-00008,MOBILE,Abu Dhabi,Instagram Ads,Credit Card,Logged-In Member,Beauty,4,11,215.45,1259.9,30,13,2369.95,1,1,1,1,0,1,5.1,5.0,767.95,0,24,0,0,Lip Tint|Face Serum|Sunscreen|Cleanser
CIQ-00009,Mobile,Dubai,TikTok Shop,Credit Card,Logged-In Member,Fashion,6,2,188.54,332.0,7,2,377.08,1,1,0,0,0,0,,,1105.67,20,48,0,0,T-Shirt
CIQ-00010,Mobile,Dubai,Google Shopping,Credit Card,Logged-In Member,Home & Living,3,4,98.81,494.1,13,4,395.24,1,1,1,1,1,1,3.6,5.0,707.42,20,24,0,0,Bedsheet|Desk Lamp
CIQ-00011,Mobile,Jeddah,Instagram Ads,Apple Pay,Logged-In Member,Beauty,3,5,196.59,453.1,12,6,982.95,1,1,1,1,1,1,2.4,3.0,470.25,10,12,0,0,Lip Tint|Face Serum|Cleanser
CIQ-00012,Tablet,Abu Dhabi,Google Shopping,Credit Card,Logged-In Member,Home & Living,5,6,122.25,786.1,17,6,733.5,1,1,1,1,1,1,3.1,3.0,1006.68,10,24,0,0,Storage Box|Bedsheet|Scented Candle
CIQ-00013,Desktop,Riyadh,TikTok Shop,Cash on Delivery,Logged-In Member,Beauty,1,5,384.6,460.2,12,6,1923.0,1,1,1,1,1,1,4.2,4.0,406.66,20,1,0,0,Cleanser|Lip Tint|Face Serum
CIQ-00014,desktop ,Abu Dhabi,Google Shopping,Credit Card,Logged-In Member,Fashion,3,6,48.86,456.1,15,8,293.16,1,1,1,1,1,0,,,638.63,15,1,1,0,Sneakers|Handbag|T-Shirt
CIQ-00015,Mobile,Jeddah,Instagram Ads,Tabby/Tamara,Logged-In Member,Home & Living,4,7,153.59,468.9,17,8,1075.13,1,1,1,0,1,1,3.6,3.0,683.25,0,4,0,0,Bedsheet|Storage Box|Desk Lamp|Scented Candle
CIQ-00016,Mobile,Dubai,TikTok Shop,Credit Card,Guest,Beauty,0,6,38.08,410.9,17,7,228.48,1,1,1,1,0,1,3.7,4.0,96.13,5,12,0,0,Lip Tint|Face Serum|Cleanser|Sunscreen
CIQ-00017,Desktop,Dubai,Direct,Cash on Delivery,Logged-In Member,Fashion,3,5,154.22,647.2,15,6,771.1,1,1,1,1,0,1,3.1,5.0,627.01,15,12,0,0,Sneakers|T-Shirt|Handbag
